"Sentrix_ID","Tumor_Group","Color"
"205707890044_R03C01","LIVER","lightsalmon"
"205707890044_R06C01","LIVER","lightsalmon"
"205707890044_R07C01","LIVER","lightsalmon"
"205707890048_R06C01","LIVER","lightsalmon"
"205676380022_R01C01","LIVER","lightsalmon"
"205715830018_R02C01","LIVER","lightsalmon"
"205715830018_R03C01","LIVER","lightsalmon"
"205715830029_R02C01","LIVER","lightsalmon"
"205715830029_R06C01","LIVER","lightsalmon"
"205130650041_R02C01","LIVER","lightsalmon"
"205767050006_R02C01","LIVER","lightsalmon"
"205767050006_R03C01","LIVER","lightsalmon"
"205767050006_R04C01","LIVER","lightsalmon"
"205767050086_R02C01","LIVER","lightsalmon"
"205767050086_R04C01","LIVER","lightsalmon"
"205767050086_R05C01","LIVER","lightsalmon"
"205767050105_R02C01","LIVER","lightsalmon"
"205767050105_R03C01","LIVER","lightsalmon"
"205767050105_R04C01","LIVER","lightsalmon"
"205767050105_R06C01","LIVER","lightsalmon"
"205767050105_R08C01","LIVER","lightsalmon"
"205767050120_R03C01","LIVER","lightsalmon"
"205767050120_R04C01","LIVER","lightsalmon"
"205767050158_R06C01","LIVER","lightsalmon"
"205767050167_R02C01","LIVER","lightsalmon"
"205767050167_R03C01","LIVER","lightsalmon"
"205767050167_R05C01","LIVER","lightsalmon"
"205767050167_R06C01","LIVER","lightsalmon"
"205767050167_R07C01","LIVER","lightsalmon"
"205852210009_R02C01","LIVER","lightsalmon"
"206137480100_R01C01","LIVER","lightsalmon"
"206137480100_R03C01","LIVER","lightsalmon"
"206351500161_R03C01","LIVER","lightsalmon"
"205772280010_R02C01","LIVER","lightsalmon"
"205772280127_R05C01","LIVER","lightsalmon"
"205852220042_R06C01","LIVER","lightsalmon"
"204424040069_R05C01","MEL","#E07549"
"204076530042_R04C01","MEL","#E07549"
"204551190047_R03C01","MEL","#E07549"
"205437190001_R03C01","MEL","#E07549"
"205437190001_R04C01","MEL","#E07549"
