"Sample","meth.class","meth.family","col"
"GSM2405472_3999112130_R01C02","GBM, RTK I","MCF GBM ","#68c62d"
"GSM2405473_3999112130_R02C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405474_3999112137_R03C01","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405475_3999112131_R06C02","PITUI","PITUI","#58d8db"
"GSM2405476_3999112136_R03C01","LGG, MYB","LGG, MYB","#9159de"
"GSM2405477_3999112136_R06C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405478_3999112137_R02C01","GBM, MES","MCF GBM ","#538533"
"GSM2405479_3999112147_R03C02","CONTR, REACT","CONTR, REACT","#d7d7d7"
"GSM2405480_3999112147_R06C02","PXA","PXA","#7c46c9"
"GSM2405481_3999112155_R01C01","PXA","PXA","#7c46c9"
"GSM2405482_3999112155_R04C01","PXA","PXA","#7c46c9"
"GSM2405483_3999112155_R05C01","PXA","PXA","#7c46c9"
"GSM2405484_3999112155_R06C01","PXA","PXA","#7c46c9"
"GSM2405485_3999112155_R02C02","PXA","PXA","#7c46c9"
"GSM2405486_3999112155_R03C02","PXA","PXA","#7c46c9"
"GSM2405487_3999308159_R04C01","HGNET, MN1","HGNET, MN1","#ab94c1"
"GSM2405488_3999308159_R05C01","HGNET, MN1","HGNET, MN1","#ab94c1"
"GSM2405489_3999308200_R01C01","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405490_3999308200_R06C01","GBM, MES","MCF GBM ","#538533"
"GSM2405491_3999308200_R02C02","LGG, PA GG ST","MCF PA","#764e90"
"GSM2405492_3999308200_R03C02","CHGL","CHGL","#b37dec"
"GSM2405493_3999308203_R02C01","PITUI","PITUI","#58d8db"
"GSM2405494_3999308203_R03C01","PITUI","PITUI","#58d8db"
"GSM2405495_3999308203_R04C01","PITUI","PITUI","#58d8db"
"GSM2405496_3999308203_R05C01","PITUI","PITUI","#58d8db"
"GSM2405497_3999308203_R01C02","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405498_3999308203_R02C02","GBM, RTK I","MCF GBM ","#68c62d"
"GSM2405499_3999308203_R05C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405500_3999112158_R04C01","GBM, MES","MCF GBM ","#538533"
"GSM2405501_3999543047_R01C01","DLGNT","DLGNT","#d1723a"
"GSM2405502_3999543047_R01C02","O IDH","MCF IDH GLM","#ffe336"
"GSM2405503_3999543047_R05C02","GBM, RTK II","MCF GBM ","#7af870"
"GSM2405504_3999543047_R06C02","HGNET, MN1","HGNET, MN1","#ab94c1"
"GSM2405505_3999547085_R02C01","GBM, MYCN","MCF GBM ","#48e948"
"GSM2405506_3999547092_R06C02","A IDH","MCF IDH GLM","#ecbf00"
"GSM2405507_3999547123_R03C01","LGG, PA MID","MCF PA","#b890e0"
"GSM2405508_3999547123_R04C02","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405509_3999547123_R05C02","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405510_3999547136_R02C02","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405511_3998909006_R01C02","A IDH","MCF IDH GLM","#ecbf00"
"GSM2405512_3998909006_R02C02","CONTR, REACT","CONTR, REACT","#d7d7d7"
"GSM2405513_3998909006_R06C02","CHGL","CHGL","#b37dec"
"GSM2405514_3998909013_R02C01","A IDH","MCF IDH GLM","#ecbf00"
"GSM2405515_3998909013_R05C01","O IDH","MCF IDH GLM","#ffe336"
"GSM2405516_3998909026_R03C01","LGG, PA PF","MCF PA","#9d73c9"
"GSM2405517_3998909026_R02C02","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405518_3998909027_R01C01","A IDH, HG","MCF IDH GLM","#ddca11"
"GSM2405519_3998909027_R02C01","A IDH","MCF IDH GLM","#ecbf00"
"GSM2405520_3998909027_R02C02","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2405521_3998909027_R03C02","ATRT, SHH","MCF ATRT","#009cea"
"GSM2405522_3998909027_R04C02","ATRT, TYR","MCF ATRT","#44aeff"
"GSM2405523_3998909025_R02C01","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405524_3998909025_R05C01","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405525_3998909025_R01C02","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405526_3998909051_R02C02","PITUI","PITUI","#58d8db"
"GSM2405527_3998909051_R03C02","PITUI","PITUI","#58d8db"
"GSM2405528_3998909062_R03C02","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405529_3998909063_R01C01","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405530_3998909063_R03C01","LGG, GG","LGG, GG","#e4703a"
"GSM2405531_3998909063_R04C01","LGG, MYB","LGG, MYB","#9159de"
"GSM2405532_3998909063_R05C01","LGG, GG","LGG, GG","#e4703a"
"GSM2405533_3998909063_R06C01","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405534_3998909063_R03C02","PTPR, A","PTPR, A","#aede8a"
"GSM2405535_9993943073_R04C01","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405536_9993943118_R02C02","HGNET, BCOR","HGNET, BCOR","#739aca"
"GSM2405537_10005771148_R01C02","HGNET, MN1","HGNET, MN1","#ab94c1"
"GSM2405538_9741950039_R04C01","EFT, CIC","EFT, CIC","#955c9d"
"GSM2405539_3998909070_R04C01","DLGNT","DLGNT","#d1723a"
"GSM2405540_3998909071_R02C01","DLGNT","DLGNT","#d1723a"
"GSM2405541_3998909071_R02C02","LGG, GG","LGG, GG","#e4703a"
"GSM2405542_3998909071_R03C02","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405543_3998909072_R02C01","LGG, DNT","LGG, DNT","#cb5216"
"GSM2405544_3998909073_R04C01","GBM, MYCN","MCF GBM ","#48e948"
"GSM2405545_3998909200_R06C01","PITAD, STH SPA","PITAD, STH SPA","#41ccbe"
"GSM2405546_3998909182_R04C01","PITUI","PITUI","#58d8db"
"GSM2405547_3998909182_R06C01","DLGNT","DLGNT","#d1723a"
"GSM2405548_3998909182_R02C02","DLGNT","DLGNT","#d1723a"
"GSM2405549_3998920095_R01C01","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405550_3998920095_R03C01","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405551_3998920095_R05C01","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405552_3998920095_R01C02","PITAD, ACTH","PITAD, ACTH","#137d75"
"GSM2405553_3998920095_R03C02","PITAD, ACTH","PITAD, ACTH","#137d75"
